Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s)
RandomForest_Tuned,0.8838435099536343,0.8669559576800053,0.9038524322559582,0.8850198084234322,0.9472970684989925,161.61347842216492
LightGBM,0.8665544047426819,0.8402294853963839,0.9016370505107038,0.8698508402888704,0.9347325207396748,13.351529598236084
XGBoost_Optimized,0.8653433600147632,0.8404276208137886,0.8983023179888998,0.8684017719264628,0.933875492789262,19.233405590057373
Neural_Network_MLP,0.8580309566099975,0.8205456184864434,0.9125274007742176,0.8640955714301487,0.9312951802650947,622.516738653183
GradientBoosting,0.8601531683236834,0.8349632985559017,0.8939415139219253,0.8634464428502246,0.9296984945217398,521.8712027072906
