max_altitude,rise_azimuth,set_azimuth,archived,experimental,year,station_lat,station_lng,station_alt,horizon,station_status,duration_seconds,hour_of_day,day_of_week,month,day_of_year,week_of_year,altitude_squared,altitude_log,hour_sin,hour_cos,month_sin,month_cos,abs_latitude,true_label,predicted_label,error_type
9.0,176.0,128.0,1,0,2024,64.7941,-147.536,147,7,2,220.0,15,4,9,257,37,81.0,2.302585092994046,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210294e-16,64.7941,0.0,1.0,False Positive
13.0,277.0,236.0,1,0,2024,53.902,27.047,280,0,2,300.0,8,5,7,209,30,169.0,2.6390573296152584,0.8660254037844387,-0.4999999999999998,-0.4999999999999997,-0.8660254037844388,53.902,0.0,1.0,False Positive
85.0,312.0,132.0,1,0,2023,35.694,-84.27,350,15,2,669.0,10,1,5,129,19,7225.0,4.454347296253507,0.4999999999999999,-0.8660254037844387,0.4999999999999999,-0.8660254037844387,35.694,1.0,0.0,False Negative
32.0,212.0,311.0,1,0,2023,48.042,7.413,193,20,1,212.0,10,5,2,49,7,1024.0,3.49650756146648,0.4999999999999999,-0.8660254037844387,0.8660254037844386,0.5000000000000001,48.042,1.0,0.0,False Negative
15.0,344.0,249.0,0,0,2025,41.70158,-8.82569,46,5,2,443.0,19,0,9,251,37,225.0,2.772588722239781,-0.9659258262890684,0.2588190451025203,-1.0,-1.8369701987210294e-16,41.70158,0.0,1.0,False Positive
57.0,155.0,350.0,1,0,2023,49.977285,8.231502,100,20,2,730.0,23,3,6,166,24,3249.0,4.060443010546419,-0.2588190451025215,0.965925826289068,1.2246467991473532e-16,-1.0,49.977285,1.0,0.0,False Negative
25.0,202.0,180.0,1,0,2024,53.91,27.09,280,0,2,191.0,9,3,8,214,31,625.0,3.258096538021482,0.7071067811865476,-0.7071067811865475,-0.8660254037844385,-0.5000000000000004,53.91,0.0,1.0,False Positive
42.0,249.0,359.0,1,0,2024,-19.861,-44.619,800,30,2,227.0,20,6,6,161,23,1764.0,3.7612001156935615,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,19.861,1.0,0.0,False Negative
68.0,19.0,187.0,0,0,2025,49.2169371,7.01402,224,10,0,446.0,4,6,5,131,19,4624.0,4.23410650459726,0.8660254037844386,0.5000000000000001,0.4999999999999999,-0.8660254037844387,49.2169371,0.0,1.0,False Positive
69.0,185.0,328.0,1,0,2023,48.886,8.693,337,46,1,180.0,14,5,10,301,43,4761.0,4.248495242049359,-0.4999999999999997,-0.8660254037844388,-0.8660254037844386,0.5000000000000001,48.886,1.0,0.0,False Negative
10.0,354.0,253.0,0,0,2024,50.77,-2.02,60,20,2,521.0,22,2,11,325,47,100.0,2.3978952727983707,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384,50.77,1.0,0.0,False Negative
40.0,151.0,357.0,1,0,2024,37.7423198,-25.5565093,80,0,2,689.0,8,3,7,207,30,1600.0,3.713572066704308,0.8660254037844387,-0.4999999999999998,-0.4999999999999997,-0.8660254037844388,37.7423198,1.0,0.0,False Negative
27.0,348.0,215.0,1,0,2023,2.811185,-60.680964,9,15,2,482.0,3,6,12,351,50,729.0,3.332204510175204,0.7071067811865476,0.7071067811865476,-2.4492935982947064e-16,1.0,2.811185,1.0,0.0,False Negative
10.0,333.0,260.0,0,0,2025,41.436,-87.038,240,0,2,334.0,5,4,6,164,24,100.0,2.3978952727983707,0.9659258262890684,0.2588190451025207,1.2246467991473532e-16,-1.0,41.436,0.0,1.0,False Positive
29.0,6.0,224.0,1,0,2024,51.4962,11.9706,110,10,2,714.0,11,5,9,272,39,841.0,3.4011973816621555,0.258819045102521,-0.9659258262890682,-1.0,-1.8369701987210294e-16,51.4962,0.0,1.0,False Positive
20.0,223.0,317.0,0,0,2025,49.2169371,7.01402,224,10,0,468.0,18,3,5,121,18,400.0,3.044522437723423,-1.0,-1.8369701987210294e-16,0.4999999999999999,-0.8660254037844387,49.2169371,0.0,1.0,False Positive
83.0,227.0,48.0,0,0,2025,-34.8663,-58.139,10,10,2,654.0,13,1,9,266,39,6889.0,4.430816798843313,-0.2588190451025208,-0.9659258262890684,-1.0,-1.8369701987210294e-16,34.8663,0.0,1.0,False Positive
77.0,32.0,184.0,1,0,2023,63.854,20.208,35,20,0,180.0,17,6,8,239,34,5929.0,4.356708826689592,-0.9659258262890684,-0.2588190451025206,-0.8660254037844385,-0.5000000000000004,63.854,1.0,0.0,False Negative
63.0,131.0,336.0,1,0,2024,-27.492,153.069,29,20,2,308.0,18,1,4,93,14,3969.0,4.158883083359672,-1.0,-1.8369701987210294e-16,0.8660254037844387,-0.4999999999999998,27.492,0.0,1.0,False Positive
89.0,16.0,197.0,1,0,2024,59.453,17.89,7,7,2,507.0,10,0,8,218,32,7921.0,4.499809670330265,0.4999999999999999,-0.8660254037844387,-0.8660254037844385,-0.5000000000000004,59.453,0.0,1.0,False Positive
22.0,310.0,82.0,0,1,2025,51.2072,17.4054,160,2,0,632.0,21,1,5,147,22,484.0,3.1354942159291497,-0.7071067811865477,0.7071067811865474,0.4999999999999999,-0.8660254037844387,51.2072,0.0,1.0,False Positive
16.0,212.0,135.0,1,0,2023,13.8422302,100.8554904,50,10,2,352.0,23,2,6,179,26,256.0,2.833213344056216,-0.2588190451025215,0.965925826289068,1.2246467991473532e-16,-1.0,13.8422302,1.0,0.0,False Negative
